ID,Start Date,End Date,Duration (in seconds),Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful,How many extracurricular organizations are you currently involved with?,"Do you hold leadership positions in any of these organizations? If so, in how many?",How many internships or co-ops have you had since beginning college?
224,2019-08-27 17:12:34,2019-08-28 12:41:49,70154,Neutral,Neutral,Neutral,0,0,1
113,2019-08-28 15:08:48,2019-08-28 15:21:32,763,Agree,Moderately Agree,Moderately Agree,3,0,2
170,2019-08-28 18:58:19,2019-08-28 19:23:31,1512,Moderately Agree,Agree,Neutral,2,1,0
167,2019-08-28 19:02:37,2019-08-28 22:01:21,10723,Moderately Agree,Neutral,Neutral,4,0,0
191,2019-08-27 17:13:00,2019-08-28 22:19:12,104772,Neutral,Neutral,Moderately Agree,1,0,0
240,2019-08-27 17:12:57,2019-08-28 22:40:57,106079,Neutral,Moderately Agree,Moderately Agree,0,0,0
70,2019-08-28 22:50:00,2019-08-28 23:29:19,2358,Moderately Disagree,Neutral,Neutral,2,0,0
34,2019-08-28 18:58:22,2019-08-29 0:16:12,19069,Moderately Agree,Moderately Agree,Agree,1,1,1
126,2019-08-28 19:01:40,2019-08-29 7:26:58,44717,Strongly agree,Agree,Strongly agree,0,0,0
59,2019-08-27 18:59:29,2019-08-29 9:21:38,138128,Agree,Strongly agree,Agree,0,0,0
24,2019-08-29 12:00:15,2019-08-29 13:14:37,4461,Neutral,Moderately Agree,Neutral,2,0,0
246,2019-08-29 12:57:47,2019-08-29 13:14:43,1016,Agree,Neutral,Neutral,1,0,1
219,2019-08-29 14:22:40,2019-08-29 14:30:40,480,Agree,Strongly agree,Strongly agree,1,0,0
159,2019-08-29 17:24:41,2019-08-29 17:38:21,819,Disagree,Disagree,Neutral,0,0,0
72,2019-08-29 14:05:29,2019-08-29 18:24:45,15556,Moderately Agree,Agree,Moderately Agree,2,1,0
100,2019-08-29 18:17:36,2019-08-29 18:36:18,1121,Neutral,Moderately Agree,Moderately Agree,1,0,0
221,2019-08-29 19:09:25,2019-08-29 19:26:25,1020,Agree,Agree,Strongly agree,2,0,2
53,2019-08-30 12:28:07,2019-08-30 12:47:47,1180,Moderately Disagree,Neutral,Neutral,0,0,0
278,2019-08-30 15:50:25,2019-08-30 16:01:35,669,Neutral,Neutral,Neutral,0,0,1
63,2019-08-30 16:23:50,2019-08-30 16:39:18,928,Agree,Moderately Agree,Neutral,4,0,0
67,2019-08-30 15:33:22,2019-08-30 18:35:30,10928,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,0,2
266,2019-08-27 18:57:45,2019-08-31 1:16:56,281950,Strongly agree,Moderately Disagree,Strongly agree,2,1,1
267,2019-08-27 19:08:12,2019-08-31 10:44:27,315375,Strongly agree,Strongly agree,Strongly agree,0,0,1
62,2019-08-31 11:09:39,2019-08-31 11:20:51,672,Moderately Agree,Strongly agree,Strongly agree,0,0,0
106,2019-08-31 17:07:52,2019-08-31 17:26:19,1107,Moderately Agree,Agree,Moderately Agree,0,0,0
50,2019-08-28 19:00:51,2019-08-31 19:33:55,261184,Moderately Agree,Agree,Agree,0,0,0
145,2019-08-27 17:13:10,2019-08-31 19:49:45,354994,Moderately Agree,Strongly agree,Moderately Agree,4,0,0
161,2019-08-31 21:03:14,2019-08-31 21:16:33,798,Strongly agree,Moderately Agree,Strongly agree,0,0,0
255,2019-08-31 22:52:05,2019-09-01 0:02:21,4215,Neutral,Moderately Agree,Moderately Disagree,1,0,0
1,2019-09-01 12:00:47,2019-09-01 12:17:21,994,Neutral,Neutral,Neutral,3,0,1
84,2019-08-27 18:59:16,2019-09-01 14:14:00,414884,Agree,Agree,Agree,0,0,1
155,2019-09-01 15:42:09,2019-09-01 15:55:25,795,Agree,Agree,Agree,0,0,0
243,2019-08-27 19:19:19,2019-09-01 16:32:14,421975,Moderately Agree,Moderately Agree,Moderately Agree,2,0,0
281,2019-09-01 16:04:37,2019-09-01 17:04:17,3579,Neutral,Neutral,Neutral,0,0,0
90,2019-09-01 20:31:31,2019-09-01 20:39:51,500,Moderately Agree,Moderately Agree,Neutral,1,0,0
200,2019-09-01 21:12:51,2019-09-01 21:23:53,661,Moderately Disagree,Neutral,Moderately Disagree,0,0,0
184,2019-08-29 8:53:17,2019-09-01 22:52:08,309531,Moderately Disagree,Agree,Agree,2,2,0
137,2019-09-01 23:50:52,2019-09-02 0:25:38,2085,Moderately Agree,Moderately Agree,Neutral,1,1,0
144,2019-09-02 9:13:13,2019-09-02 9:21:16,483,Moderately Agree,Moderately Agree,Agree,1,1,1
206,2019-09-02 12:59:01,2019-09-02 13:08:41,579,Moderately Agree,Agree,Agree,0,0,0
128,2019-09-02 15:28:53,2019-09-02 15:52:10,1396,Moderately Agree,Agree,Moderately Agree,1,0,0
166,2019-08-27 22:39:58,2019-09-02 15:54:23,494065,Neutral,Neutral,Moderately Disagree,0,0,1
262,2019-09-02 16:03:16,2019-09-02 16:14:30,674,Strongly agree,Strongly agree,Strongly agree,0,0,0
71,2019-09-02 16:42:23,2019-09-02 16:53:09,646,Neutral,Agree,Moderately Agree,2,0,1
204,2019-09-02 16:35:37,2019-09-02 16:56:25,1247,Agree,Strongly agree,Strongly agree,2,0,0
127,2019-09-02 17:09:02,2019-09-02 18:14:12,3910,Moderately Agree,Moderately Agree,Neutral,3,2,0
28,2019-09-02 18:21:41,2019-09-02 18:33:38,717,Neutral,Moderately Agree,Moderately Agree,1,1,0
169,2019-09-02 19:28:07,2019-09-02 19:48:03,1195,Moderately Agree,Moderately Agree,Moderately Disagree,1,0,1
39,2019-09-02 17:48:47,2019-09-02 19:48:15,7167,Moderately Agree,Agree,Moderately Agree,2,1,0
47,2019-08-28 19:00:52,2019-09-02 20:06:56,435963,Neutral,Moderately Agree,Moderately Agree,1,0,0
91,2019-09-02 20:03:17,2019-09-02 20:15:53,755,Disagree,Neutral,Moderately Disagree,0,0,0
115,2019-08-27 18:58:24,2019-09-02 20:54:42,525378,Agree,Moderately Agree,Strongly agree,0,0,0
17,2019-08-27 17:13:14,2019-09-02 23:29:58,541003,Agree,Strongly agree,Agree,1,0,1
79,2019-08-27 19:07:03,2019-09-03 0:21:10,537247,Moderately Agree,Neutral,Neutral,1,1,0
275,2019-09-03 10:29:08,2019-09-03 10:40:49,700,Strongly agree,Strongly agree,Moderately Agree,1,0,1
85,2019-08-28 11:27:36,2019-09-03 12:17:24,521388,Neutral,Moderately Disagree,Moderately Agree,3,0,1
160,2019-08-30 10:44:14,2019-09-03 12:31:45,352051,Moderately Agree,Moderately Agree,Agree,0,0,0
196,2019-09-03 13:47:05,2019-09-03 14:09:27,1342,Neutral,Neutral,Neutral,1,0,0
6,2019-09-03 14:07:59,2019-09-03 14:22:06,846,Neutral,Moderately Agree,Neutral,1,0,0
9,2019-09-03 14:27:09,2019-09-03 14:57:31,1821,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,1,1
104,2019-09-03 15:23:13,2019-09-03 15:34:05,652,Agree,Agree,Agree,0,0,0
35,2019-08-27 18:59:27,2019-09-03 15:49:32,593405,Agree,Agree,Strongly agree,1,1,2
55,2019-09-03 16:03:32,2019-09-03 16:19:14,941,Neutral,Strongly agree,Neutral,0,0,0
156,2019-08-27 18:59:22,2019-09-03 16:42:23,596580,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,0,0
154,2019-08-27 18:59:17,2019-09-03 17:19:17,598799,Moderately Agree,Agree,Agree,0,0,0
15,2019-09-03 17:15:42,2019-09-03 17:39:59,1456,Strongly agree,Strongly agree,Strongly agree,0,0,0
151,2019-09-03 17:41:07,2019-09-03 17:46:29,321,Neutral,Neutral,Neutral,2,0,0
215,2019-08-27 19:11:53,2019-09-03 18:04:59,600786,Moderately Disagree,Moderately Disagree,Agree,0,0,0
12,2019-09-03 17:48:24,2019-09-03 18:19:15,1850,Disagree,Disagree,Disagree,0,0,0
232,2019-08-28 19:00:01,2019-09-03 18:42:00,517319,Neutral,Moderately Agree,Neutral,0,0,0
4,2019-09-03 16:16:50,2019-09-03 18:56:57,9607,Strongly agree,Strongly agree,Strongly agree,0,0,1
140,2019-08-28 19:03:49,2019-09-03 19:20:13,519383,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
73,2019-09-03 19:19:47,2019-09-03 19:33:21,814,Moderately Agree,Agree,Moderately Agree,0,0,0
231,2019-09-03 19:30:09,2019-09-03 19:57:35,1646,Moderately Agree,Agree,Agree,1,0,0
18,2019-09-03 19:50:10,2019-09-03 20:27:19,2229,Neutral,Neutral,Moderately Agree,1,0,0
7,2019-09-02 23:01:34,2019-09-03 21:21:12,80378,Strongly Disagree,Moderately Agree,Strongly agree,0,0,0
263,2019-09-03 21:45:59,2019-09-03 21:56:44,644,Moderately Agree,Moderately Agree,Neutral,0,0,0
103,2019-09-03 21:45:00,2019-09-03 21:56:59,719,Agree,Neutral,Agree,0,0,0
107,2019-08-30 21:40:30,2019-09-03 23:08:52,350901,Agree,Moderately Disagree,Agree,3,1,0
213,2019-09-03 23:21:13,2019-09-03 23:32:14,660,Neutral,Neutral,Moderately Agree,2,0,0
66,2019-08-28 17:01:58,2019-09-03 23:41:38,542379,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
31,2019-09-03 20:25:26,2019-09-04 0:24:10,14324,Disagree,Moderately Disagree,Moderately Agree,0,0,0
133,2019-08-28 18:58:47,2019-09-04 0:34:49,538561,Moderately Agree,Agree,Agree,0,0,0
256,2019-08-24 14:51:15,2019-09-04 0:55:41,900266,Neutral,Moderately Agree,Moderately Agree,1,0,0
268,2019-09-03 9:43:10,2019-09-04 5:52:50,72579,Neutral,Neutral,Moderately Agree,0,0,3
86,2019-09-04 8:04:04,2019-09-04 8:15:05,660,Agree,Strongly agree,Moderately Agree,1,0,2
94,2019-08-28 19:18:54,2019-09-04 9:21:02,568927,Agree,Agree,Strongly agree,0,0,0
74,2019-09-03 16:18:54,2019-09-04 10:22:15,65000,Neutral,Neutral,Neutral,0,0,2
251,2019-08-28 19:04:07,2019-09-04 10:47:04,574976,Neutral,Neutral,Neutral,1,0,0
98,2019-08-25 15:34:21,2019-09-04 11:05:28,847866,Agree,Agree,Agree,2,0,0
124,2019-08-28 19:03:33,2019-09-04 11:21:35,577082,Moderately Disagree,Moderately Disagree,Moderately Disagree,0,0,0
236,2019-09-04 11:24:48,2019-09-04 11:55:41,1853,Moderately Disagree,Agree,Neutral,2,2,1
42,2019-08-28 18:58:57,2019-09-04 11:57:49,579531,Moderately Disagree,Agree,Agree,0,0,0
194,2019-09-03 16:22:42,2019-09-04 12:04:03,70880,Agree,Moderately Agree,Moderately Agree,0,0,0
14,2019-08-28 19:02:51,2019-09-04 12:15:42,580371,Moderately Agree,Moderately Agree,Moderately Agree,1,0,0
282,2019-08-28 18:58:32,2019-09-04 12:22:31,581038,Neutral,Agree,Moderately Agree,0,0,0
162,2019-08-28 18:59:33,2019-09-04 12:41:56,582143,Strongly Disagree,Neutral,Neutral,5,1,0
102,2019-08-28 19:07:37,2019-09-04 12:42:51,581714,Neutral,Agree,Moderately Agree,2,0,0
143,2019-09-04 12:27:37,2019-09-04 12:46:57,1159,Agree,Moderately Agree,Agree,1,1,1
69,2019-08-28 19:00:41,2019-09-04 13:37:05,585383,Moderately Agree,Moderately Disagree,Disagree,2,0,1
276,2019-09-03 16:17:39,2019-09-04 14:12:42,78902,Neutral,Neutral,Neutral,1,1,0
248,2019-08-24 13:25:56,2019-09-04 14:29:12,954195,Moderately Agree,Moderately Agree,Strongly agree,3,0,2
141,2019-09-04 14:03:07,2019-09-04 14:29:50,1602,Disagree,Moderately Disagree,Disagree,0,0,0
259,2019-09-04 13:08:30,2019-09-04 14:51:01,6150,Moderately Agree,Neutral,Moderately Disagree,0,0,0
152,2019-09-04 14:51:54,2019-09-04 15:02:06,611,Agree,Agree,Agree,0,0,0
253,2019-08-30 14:07:12,2019-09-04 16:07:05,439193,Neutral,Moderately Disagree,Neutral,3,0,1
218,2019-08-28 19:00:44,2019-09-04 16:09:45,594540,Agree,Agree,Agree,0,0,0
203,2019-09-04 15:53:29,2019-09-04 16:16:26,1377,Agree,Strongly agree,Agree,0,0,0
88,2019-09-03 16:14:22,2019-09-04 16:19:31,86708,Disagree,Disagree,Disagree,0,0,1
210,2019-09-04 17:48:22,2019-09-04 17:54:01,339,Moderately Disagree,Moderately Agree,Moderately Agree,4,2,2
182,2019-09-04 17:49:51,2019-09-04 18:25:54,2162,Strongly agree,Strongly agree,Strongly agree,0,0,0
274,2019-09-04 12:11:25,2019-09-04 19:19:35,25689,Agree,Agree,Moderately Agree,1,0,0
186,2019-09-04 19:28:58,2019-09-04 19:43:13,855,Moderately Agree,Strongly agree,Agree,0,0,0
157,2019-09-03 16:18:53,2019-09-04 19:46:14,98841,Strongly agree,Agree,Strongly agree,0,0,0
198,2019-08-27 19:09:44,2019-09-04 19:57:48,694083,Moderately Agree,Moderately Disagree,Disagree,1,1,3
54,2019-09-04 10:35:11,2019-09-04 20:08:34,34402,Neutral,Moderately Agree,Neutral,1,0,1
249,2019-09-04 20:03:02,2019-09-04 20:31:17,1694,Agree,Agree,Neutral,0,0,0
223,2019-09-04 20:13:55,2019-09-04 20:46:00,1925,Strongly agree,Strongly agree,Agree,0,0,0
283,2019-09-04 16:14:34,2019-09-04 20:49:04,16470,Agree,Agree,Agree,3,0,0
222,2019-09-04 17:49:51,2019-09-05 1:54:47,29096,Agree,Strongly agree,Moderately Agree,1,0,0
239,2019-09-03 16:14:30,2019-09-05 9:00:22,146752,Neutral,Strongly agree,Neutral,0,0,0
245,2019-09-05 14:09:31,2019-09-05 14:26:10,998,Neutral,Neutral,Neutral,1,0,0
208,2019-09-05 17:12:53,2019-09-05 17:24:48,715,Disagree,Disagree,Neutral,0,0,0
235,2019-09-04 13:16:51,2019-09-05 18:09:16,103944,Agree,Strongly agree,Agree,2,0,0
153,2019-09-04 16:17:49,2019-09-05 18:33:24,94535,Moderately Disagree,Strongly agree,Neutral,0,0,0
176,2019-09-05 20:15:04,2019-09-05 20:34:58,1194,Neutral,Moderately Agree,Neutral,0,0,0
242,2019-09-05 20:23:26,2019-09-05 21:19:43,3376,Neutral,Agree,Neutral,1,0,0
187,2019-09-05 23:07:03,2019-09-05 23:16:20,557,Agree,Agree,Agree,0,0,0
164,2019-09-04 16:17:19,2019-09-06 9:30:08,148368,Agree,Moderately Agree,Agree,3,0,0
171,2019-09-03 16:16:39,2019-09-06 10:55:22,239923,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
123,2019-09-05 9:45:21,2019-09-06 12:07:24,94922,Agree,Strongly agree,Moderately Agree,0,0,1
244,2019-09-06 12:31:12,2019-09-06 12:50:11,1138,Agree,Agree,Agree,0,0,0
217,2019-09-03 16:25:00,2019-09-06 19:49:43,271483,Strongly agree,Strongly agree,Strongly agree,2,0,0
99,2019-09-03 16:18:03,2019-09-07 7:55:13,315429,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
97,2019-09-07 12:06:08,2019-09-07 12:20:20,852,Disagree,Disagree,Disagree,0,0,1
260,2019-08-28 19:01:04,2019-09-07 16:11:40,853835,Moderately Disagree,Agree,Neutral,0,0,0
211,2019-09-03 16:15:38,2019-09-08 11:50:12,416074,Agree,Agree,Agree,1,0,1
199,2019-09-03 16:15:13,2019-09-08 14:28:26,425592,Moderately Agree,Neutral,Neutral,7,1,0
205,2019-09-08 14:24:45,2019-09-08 14:43:31,1126,Agree,Strongly agree,Strongly agree,0,0,1
68,2019-09-08 14:11:11,2019-09-08 18:47:06,16555,Neutral,Agree,Agree,0,0,0
163,2019-09-03 16:16:27,2019-09-08 19:02:16,441948,Moderately Agree,Moderately Agree,Moderately Agree,0,0,3
138,2019-09-08 22:38:05,2019-09-08 22:44:01,355,Agree,Agree,Agree,0,0,2
125,2019-09-03 16:15:27,2019-09-09 7:48:44,487996,Neutral,Agree,Moderately Agree,0,0,0
40,2019-09-09 12:21:26,2019-09-09 12:28:02,395,Moderately Agree,Moderately Agree,Neutral,1,0,1
10,2019-09-03 18:52:28,2019-09-09 13:12:39,498010,Moderately Disagree,Agree,Moderately Disagree,0,0,0
195,2019-09-09 12:54:35,2019-09-09 13:21:16,1600,Agree,Agree,Strongly agree,0,0,0
130,2019-09-04 16:15:17,2019-09-09 13:48:45,423207,Agree,Strongly agree,Strongly agree,2,2,1
108,2019-09-09 16:13:23,2019-09-09 16:21:57,513,Moderately Agree,Moderately Agree,Neutral,3,0,0
247,2019-09-09 17:35:45,2019-09-09 18:03:04,1639,Strongly agree,Strongly agree,Agree,1,0,1
250,2019-09-03 16:20:19,2019-09-09 18:08:41,524902,Moderately Agree,Agree,Agree,0,0,0
174,2019-09-03 16:22:40,2019-09-09 18:15:39,525179,Strongly agree,Strongly agree,Agree,0,0,0
269,2019-09-03 16:12:06,2019-09-09 19:14:45,529358,Agree,Agree,Agree,3,0,0
202,2019-09-09 17:21:46,2019-09-09 19:17:31,6944,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,0,0
51,2019-09-03 16:14:58,2019-09-09 21:00:49,535550,Strongly agree,Strongly agree,Strongly agree,0,0,0
33,2019-09-03 16:15:20,2019-09-09 21:13:20,536280,Agree,Strongly agree,Agree,0,0,0
119,2019-09-03 16:13:23,2019-09-09 23:22:01,544118,Moderately Agree,Moderately Agree,Agree,2,0,0
65,2019-09-03 16:24:47,2019-09-10 5:58:36,567228,Agree,Agree,Moderately Agree,1,1,0
254,2019-09-10 6:25:18,2019-09-10 7:53:32,5294,Agree,Strongly agree,Strongly agree,3,3,4
122,2019-09-10 8:57:05,2019-09-10 9:11:18,852,Agree,Strongly agree,Agree,0,0,0
190,2019-09-08 16:45:50,2019-09-10 9:29:23,146613,Agree,Strongly agree,Strongly agree,0,0,0
46,2019-09-10 9:37:16,2019-09-10 9:52:32,916,Neutral,Moderately Disagree,Moderately Disagree,2,2,0
43,2019-09-04 16:13:18,2019-09-10 10:28:42,497723,Agree,Strongly agree,Moderately Agree,0,0,0
23,2019-09-10 10:35:59,2019-09-10 10:50:53,893,Agree,Agree,Agree,3,2,3
16,2019-09-10 11:28:17,2019-09-10 11:44:19,961,Neutral,Neutral,Neutral,0,0,0
114,2019-09-10 11:30:29,2019-09-10 12:06:28,2158,Neutral,Agree,Moderately Agree,0,0,0
45,2019-09-04 16:12:59,2019-09-10 12:43:16,505817,Agree,Agree,Agree,1,0,2
58,2019-09-10 8:30:49,2019-09-10 12:45:05,15255,Moderately Disagree,Moderately Agree,Agree,0,0,0
121,2019-09-04 16:13:47,2019-09-10 13:58:26,510278,Strongly agree,Strongly agree,Strongly agree,5,3,0
2,2019-09-03 16:19:59,2019-09-10 14:36:35,598596,Neutral,Moderately Agree,Neutral,0,0,0
38,2019-09-03 21:34:04,2019-09-10 16:08:25,585261,Agree,Moderately Agree,Neutral,1,1,2
22,2019-09-10 16:12:27,2019-09-10 16:20:53,505,Moderately Agree,Moderately Disagree,Moderately Agree,2,1,0
212,2019-09-10 16:42:35,2019-09-10 16:53:21,646,Moderately Agree,Strongly agree,Agree,1,0,0
110,2019-09-10 16:49:17,2019-09-10 17:08:26,1149,Agree,Strongly agree,Moderately Agree,0,0,0
168,2019-09-10 16:58:26,2019-09-10 18:12:09,4422,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,1,2
96,2019-09-04 16:17:16,2019-09-10 18:21:27,525850,Moderately Agree,Strongly agree,Agree,0,0,0
193,2019-09-04 16:17:40,2019-09-10 19:12:56,528916,Neutral,Moderately Agree,Neutral,1,1,2
25,2019-09-10 18:03:53,2019-09-10 19:58:45,6892,Agree,Agree,Agree,0,0,0
57,2019-09-04 16:12:59,2019-09-10 20:02:50,532190,Moderately Agree,Agree,Agree,0,0,0
48,2019-09-10 19:53:03,2019-09-10 20:04:25,682,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
252,2019-09-10 20:53:10,2019-09-10 21:03:31,620,Moderately Agree,Agree,Moderately Agree,0,0,0
146,2019-09-10 23:25:32,2019-09-10 23:47:19,1307,Moderately Agree,Moderately Agree,Neutral,1,0,0
32,2019-09-10 15:52:58,2019-09-11 0:09:53,29815,Agree,Strongly agree,Moderately Agree,0,0,0
207,2019-09-11 11:08:37,2019-09-11 11:18:34,596,Neutral,Moderately Agree,Neutral,0,0,0
270,2019-09-06 12:58:53,2019-09-11 11:58:01,428348,Moderately Agree,Strongly agree,Agree,1,0,1
226,2019-09-11 11:53:50,2019-09-11 12:12:54,1143,Neutral,Strongly agree,Neutral,0,0,0
241,2019-09-11 11:58:08,2019-09-11 12:15:03,1015,Moderately Agree,Moderately Agree,Agree,1,1,0
93,2019-09-04 16:17:34,2019-09-11 13:18:22,594047,Moderately Disagree,Neutral,Moderately Agree,0,0,0
111,2019-09-10 22:34:17,2019-09-11 13:57:35,55397,Disagree,Moderately Disagree,Disagree,1,0,2
8,2019-09-04 14:29:24,2019-09-11 13:57:45,602901,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
173,2019-09-11 14:18:12,2019-09-11 14:32:39,867,Agree,Moderately Agree,Agree,0,0,0
228,2019-09-11 14:33:12,2019-09-11 14:43:36,623,Agree,Agree,Agree,3,0,0
112,2019-09-11 13:37:29,2019-09-11 14:43:38,3969,Strongly agree,Strongly agree,Strongly agree,0,0,1
83,2019-09-11 14:31:00,2019-09-11 14:57:41,1600,Agree,Neutral,Agree,3,1,0
87,2019-09-04 16:17:05,2019-09-11 15:19:49,601364,Neutral,Neutral,Neutral,4,1,1
149,2019-09-11 14:52:51,2019-09-11 17:07:41,8089,Strongly agree,Strongly agree,Agree,1,0,1
280,2019-09-11 17:16:05,2019-09-11 17:33:30,1044,Agree,Agree,Moderately Agree,1,0,0
220,2019-09-11 17:02:06,2019-09-11 18:14:00,4314,Disagree,Strongly Disagree,Strongly Disagree,1,0,1
277,2019-09-11 17:17:38,2019-09-11 18:20:34,3776,Agree,Agree,Moderately Agree,1,1,0
258,2019-09-11 18:18:26,2019-09-11 21:26:26,11279,Neutral,Agree,Neutral,0,0,0
20,2019-09-12 10:37:25,2019-09-12 10:50:34,788,Moderately Disagree,Agree,Neutral,0,0,0
201,2019-09-12 11:58:38,2019-09-12 12:09:39,661,Disagree,Neutral,Strongly Disagree,0,0,0
237,2019-09-11 14:05:03,2019-09-12 19:27:32,105749,Moderately Agree,Moderately Agree,Moderately Agree,0,0,0
78,2019-09-10 11:16:47,2019-09-12 21:50:48,210840,Moderately Agree,Neutral,Neutral,0,0,1
19,2019-09-12 23:17:49,2019-09-12 23:55:34,2264,Agree,Moderately Agree,Moderately Disagree,0,0,0
181,2019-09-13 17:40:39,2019-09-13 18:30:45,3006,Disagree,Agree,Moderately Disagree,0,0,0
30,2019-09-13 19:21:24,2019-09-13 19:48:50,1646,Agree,Agree,Strongly agree,3,1,0
185,2019-09-03 12:49:26,2019-09-15 8:00:03,1019436,Agree,Strongly agree,Strongly agree,2,0,1
148,2019-09-10 14:56:20,2019-09-15 23:26:06,462586,Neutral,Neutral,Neutral,0,0,0
5,2019-09-11 17:12:54,2019-09-17 8:14:08,486073,Agree,Strongly agree,Strongly agree,1,1,0
136,2019-09-17 13:47:29,2019-09-17 13:59:28,719,Disagree,Moderately Agree,Moderately Agree,0,0,3
75,2019-09-11 15:00:30,2019-09-17 14:22:45,516135,Moderately Agree,Agree,Moderately Disagree,0,0,0
233,2019-09-17 14:13:31,2019-09-17 14:56:02,2551,Agree,Strongly agree,Moderately Agree,0,0,0
11,2019-09-17 14:32:27,2019-09-17 14:57:55,1528,Disagree,Moderately Disagree,Neutral,2,0,1
56,2019-09-17 14:26:06,2019-09-17 15:00:57,2091,Strongly Disagree,Strongly Disagree,Strongly Disagree,0,0,0
131,2019-09-17 4:40:03,2019-09-17 15:03:57,37434,Moderately Agree,Agree,Agree,0,0,1
165,2019-09-04 16:12:39,2019-09-17 23:17:35,1148696,Strongly Disagree,Moderately Disagree,Moderately Disagree,4,1,0
135,2019-09-04 16:16:48,2019-09-18 10:25:29,1188521,Agree,Agree,Agree,2,0,1
179,2019-09-18 12:15:30,2019-09-18 12:24:00,509,Agree,Agree,Moderately Agree,0,0,0
92,2019-09-10 9:13:12,2019-09-18 17:19:35,720383,Moderately Agree,Agree,Moderately Agree,1,0,0
147,2019-09-22 18:45:55,2019-09-22 18:55:31,576,Disagree,Agree,Neutral,2,0,0
227,2019-09-22 20:23:12,2019-09-23 12:39:21,58569,Agree,Agree,Agree,1,0,2
216,2019-09-11 17:14:04,2019-09-26 22:01:30,1313245,Moderately Agree,Moderately Agree,Moderately Agree,0,0,1
101,2019-09-04 16:16:57,2019-09-27 16:33:38,1988201,Moderately Agree,Moderately Agree,Moderately Agree,3,1,0
261,2019-09-24 15:51:03,2019-10-21 23:59:58,2362134,Moderately Agree,Agree,Strongly agree,2,1,2
150,2019-09-16 16:03:03,2019-10-24 18:19:39,3291395,Moderately Agree,Agree,Moderately Agree,0,0,0
95,2019-08-27 19:08:13,2019-12-03 15:45:28,8458635,Moderately Agree,Neutral,Neutral,6,1,3
105,2019-09-10 23:42:35,2019-12-11 14:15:42,7918386,Strongly agree,Strongly agree,Strongly agree,1,0,1
129,2019-08-26 9:12:27,2020-01-31 10:00:33,13657686,Agree,Agree,Agree,2,0,0
238,2019-08-28 19:15:29,2020-02-02 16:26:54,13644684,Strongly agree,Moderately Agree,Moderately Agree,2,0,0
